id,project_id,user_id,role,joined_at
125,112,d9fbcbde-376a-5f82-9fb5-268a24b02d57,owner,2026-07-05T02:30:00+00:00
126,112,693ebb02-ab3f-5d60-b798-d4d4df4900d2,member,2026-07-05T06:30:00+00:00
127,112,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,member,2026-07-05T10:30:00+00:00
128,112,90cced0e-f2c7-528c-bd28-38c44ead6c98,mentor,2026-07-05T14:30:00+00:00
129,113,001e944b-e64e-5742-afb7-5e04327e41ee,owner,2026-07-14T22:30:00+00:00
130,113,518ae987-15f7-5b22-8bcc-df59623dbdce,member,2026-07-15T02:30:00+00:00
131,114,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,owner,2026-08-16T00:30:00+00:00
132,114,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,member,2026-08-16T04:30:00+00:00
133,114,53f78f7e-e2df-586b-b483-5748c92d0f9f,member,2026-08-16T08:30:00+00:00
134,114,0947c4b9-50d6-50e2-9043-84a15b80e8c7,member,2026-08-16T12:30:00+00:00
135,115,f22a7317-9c2b-5d13-99b9-1a1622094bb3,owner,2026-07-24T19:30:00+00:00
136,115,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,member,2026-07-24T23:30:00+00:00
137,116,daa36188-60fd-56a2-938b-70b1b51084b0,owner,2026-08-27T05:30:00+00:00
138,116,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,member,2026-08-27T09:30:00+00:00
139,116,d48cab4b-e48b-59ae-88d6-41d5d463569d,member,2026-08-27T13:30:00+00:00
140,116,729fe171-fa0d-547e-b374-39bd19f4c645,member,2026-08-27T17:30:00+00:00
141,116,878bb7d9-5569-5efb-bbd1-5e39d62d594d,member,2026-08-27T21:30:00+00:00
142,117,1bc15434-bc22-56cc-a890-336efd2a11e5,owner,2026-08-25T05:30:00+00:00
143,117,b39a9d3d-f3eb-5d31-9cc7-15e278969b70,member,2026-08-25T09:30:00+00:00
