id,user_id,skill_id,level,is_verified
185,d9fbcbde-376a-5f82-9fb5-268a24b02d57,5,beginner,false
186,d9fbcbde-376a-5f82-9fb5-268a24b02d57,3,beginner,false
187,d9fbcbde-376a-5f82-9fb5-268a24b02d57,6,beginner,false
188,d9fbcbde-376a-5f82-9fb5-268a24b02d57,133,beginner,false
189,d9fbcbde-376a-5f82-9fb5-268a24b02d57,9,beginner,false
190,4c2177ab-592a-5e4a-b25b-8bb3f8090555,137,intermediate,false
191,4c2177ab-592a-5e4a-b25b-8bb3f8090555,138,intermediate,false
192,4c2177ab-592a-5e4a-b25b-8bb3f8090555,139,beginner,false
193,8ae0340a-8eaf-5e9d-9db0-ac449334023d,143,intermediate,false
194,8ae0340a-8eaf-5e9d-9db0-ac449334023d,9,intermediate,false
195,8ae0340a-8eaf-5e9d-9db0-ac449334023d,144,beginner,false
196,8ae0340a-8eaf-5e9d-9db0-ac449334023d,23,beginner,false
197,3d016498-e16a-5ad9-95c7-b633dfc6a142,137,intermediate,false
198,3d016498-e16a-5ad9-95c7-b633dfc6a142,29,intermediate,false
199,3d016498-e16a-5ad9-95c7-b633dfc6a142,135,beginner,false
200,001e944b-e64e-5742-afb7-5e04327e41ee,9,advanced,false
201,001e944b-e64e-5742-afb7-5e04327e41ee,10,intermediate,false
202,001e944b-e64e-5742-afb7-5e04327e41ee,20,beginner,false
203,001e944b-e64e-5742-afb7-5e04327e41ee,134,beginner,false
204,1767869f-381f-59b9-acac-01da2d539e40,9,intermediate,false
205,1767869f-381f-59b9-acac-01da2d539e40,142,intermediate,false
206,50d6350f-ffd4-59ad-a1ff-65a49a77a913,9,beginner,false
207,50d6350f-ffd4-59ad-a1ff-65a49a77a913,27,beginner,false
208,1bc15434-bc22-56cc-a890-336efd2a11e5,5,intermediate,false
209,1bc15434-bc22-56cc-a890-336efd2a11e5,3,intermediate,false
210,1bc15434-bc22-56cc-a890-336efd2a11e5,6,beginner,false
211,1bc15434-bc22-56cc-a890-336efd2a11e5,133,beginner,false
212,3425797b-5c54-5f3a-9a34-9cedb0dc5b84,137,beginner,false
213,3425797b-5c54-5f3a-9a34-9cedb0dc5b84,138,beginner,false
214,3425797b-5c54-5f3a-9a34-9cedb0dc5b84,140,beginner,false
215,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,143,intermediate,false
216,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,9,intermediate,false
217,b0ebc690-efe0-594f-bd55-e4d7ec3454bc,134,intermediate,false
218,b0ebc690-efe0-594f-bd55-e4d7ec3454bc,138,intermediate,false
219,9c9c228f-3bd5-5da4-b666-fbfab93b4b7e,9,intermediate,false
220,9c9c228f-3bd5-5da4-b666-fbfab93b4b7e,19,intermediate,false
221,4966bb54-4d4f-5992-8586-1bd44991d17f,9,intermediate,false
