id,user_id,book_id,chapter_id,progress_percent,completed,completed_chapters,book_completion_awarded,last_read_at,created_at,updated_at
142,4c2177ab-592a-5e4a-b25b-8bb3f8090555,9,17,100,true,"{13,14,15,16,17}",true,2026-09-19T02:17:00+00:00,2026-09-19T01:29:00+00:00,2026-09-19T02:17:00+00:00
143,8ae0340a-8eaf-5e9d-9db0-ac449334023d,15,47,100,true,"{43,44,45,46,47}",true,2026-09-19T02:16:00+00:00,2026-09-19T01:28:00+00:00,2026-09-19T02:16:00+00:00
144,8ae0340a-8eaf-5e9d-9db0-ac449334023d,10,21,60,false,"{18,19,20}",false,2026-09-19T03:52:00+00:00,2026-09-19T03:28:00+00:00,2026-09-19T03:52:00+00:00
145,3d016498-e16a-5ad9-95c7-b633dfc6a142,7,7,80,false,"{3,4,5,6}",false,2026-09-19T02:03:00+00:00,2026-09-19T01:27:00+00:00,2026-09-19T02:03:00+00:00
146,1767869f-381f-59b9-acac-01da2d539e40,13,36,60,false,"{33,34,35}",false,2026-09-19T01:49:00+00:00,2026-09-19T01:25:00+00:00,2026-09-19T01:49:00+00:00
147,50d6350f-ffd4-59ad-a1ff-65a49a77a913,13,35,40,false,"{33,34}",false,2026-09-19T01:36:00+00:00,2026-09-19T01:24:00+00:00,2026-09-19T01:36:00+00:00
148,50d6350f-ffd4-59ad-a1ff-65a49a77a913,10,22,100,true,"{18,19,20,21,22}",true,2026-09-19T04:12:00+00:00,2026-09-19T03:24:00+00:00,2026-09-19T04:12:00+00:00
149,1bc15434-bc22-56cc-a890-336efd2a11e5,7,5,40,false,"{3,4}",false,2026-09-19T01:35:00+00:00,2026-09-19T01:23:00+00:00,2026-09-19T01:35:00+00:00
150,1bc15434-bc22-56cc-a890-336efd2a11e5,13,36,60,false,"{33,34,35}",false,2026-09-19T03:47:00+00:00,2026-09-19T03:23:00+00:00,2026-09-19T03:47:00+00:00
151,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,7,3,0,false,{},false,2026-09-19T01:21:00+00:00,2026-09-19T01:21:00+00:00,2026-09-19T01:21:00+00:00
152,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,12,30,40,false,"{28,29}",false,2026-09-19T03:33:00+00:00,2026-09-19T03:21:00+00:00,2026-09-19T03:33:00+00:00
153,b0ebc690-efe0-594f-bd55-e4d7ec3454bc,7,7,100,true,"{3,4,5,6,7}",true,2026-09-19T02:08:00+00:00,2026-09-19T01:20:00+00:00,2026-09-19T02:08:00+00:00
154,9c9c228f-3bd5-5da4-b666-fbfab93b4b7e,15,44,20,false,{43},false,2026-09-19T01:19:00+00:00,2026-09-19T01:19:00+00:00,2026-09-19T01:19:00+00:00
