id,from_user_id,to_user_id,status,created_at,updated_at
102,4c2177ab-592a-5e4a-b25b-8bb3f8090555,518ae987-15f7-5b22-8bcc-df59623dbdce,pending,2026-07-19T10:30:00+00:00,2026-07-19T10:30:00+00:00
103,4c2177ab-592a-5e4a-b25b-8bb3f8090555,d9fbcbde-376a-5f82-9fb5-268a24b02d57,accepted,2026-08-03T10:30:00+00:00,2026-08-03T13:30:00+00:00
104,8ae0340a-8eaf-5e9d-9db0-ac449334023d,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,accepted,2026-07-19T10:30:00+00:00,2026-07-19T13:30:00+00:00
105,8ae0340a-8eaf-5e9d-9db0-ac449334023d,5ccdaadc-80b2-50e1-a0c1-bad0246a7cf2,accepted,2026-08-27T10:30:00+00:00,2026-08-27T13:30:00+00:00
106,8ae0340a-8eaf-5e9d-9db0-ac449334023d,af808cd8-ab34-515f-a8a0-a1b0719a537b,accepted,2026-08-18T10:30:00+00:00,2026-08-18T13:30:00+00:00
107,3d016498-e16a-5ad9-95c7-b633dfc6a142,a5526e82-ef69-522b-b3ad-df818658bde0,pending,2026-07-20T10:30:00+00:00,2026-07-20T10:30:00+00:00
108,3d016498-e16a-5ad9-95c7-b633dfc6a142,d9fbcbde-376a-5f82-9fb5-268a24b02d57,accepted,2026-08-24T10:30:00+00:00,2026-08-24T13:30:00+00:00
109,001e944b-e64e-5742-afb7-5e04327e41ee,d9fbcbde-376a-5f82-9fb5-268a24b02d57,pending,2026-09-16T10:30:00+00:00,2026-09-16T10:30:00+00:00
110,1767869f-381f-59b9-acac-01da2d539e40,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,accepted,2026-08-20T10:30:00+00:00,2026-08-20T13:30:00+00:00
111,1767869f-381f-59b9-acac-01da2d539e40,5a4b137d-2ebb-5c75-8cdd-bf77406b4b9f,pending,2026-07-31T10:30:00+00:00,2026-07-31T10:30:00+00:00
112,1767869f-381f-59b9-acac-01da2d539e40,4c310820-12d3-5128-9a45-973db446b59e,accepted,2026-07-22T10:30:00+00:00,2026-07-22T13:30:00+00:00
113,1767869f-381f-59b9-acac-01da2d539e40,54561bf4-fe37-5b37-934d-9c7f81542f8b,pending,2026-08-18T10:30:00+00:00,2026-08-18T10:30:00+00:00
114,50d6350f-ffd4-59ad-a1ff-65a49a77a913,64609795-d498-5ea7-ad33-a3bcecf9d962,accepted,2026-08-28T10:30:00+00:00,2026-08-28T13:30:00+00:00
115,50d6350f-ffd4-59ad-a1ff-65a49a77a913,1bc15434-bc22-56cc-a890-336efd2a11e5,pending,2026-08-26T10:30:00+00:00,2026-08-26T10:30:00+00:00
116,50d6350f-ffd4-59ad-a1ff-65a49a77a913,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,accepted,2026-08-18T10:30:00+00:00,2026-08-18T13:30:00+00:00
117,3425797b-5c54-5f3a-9a34-9cedb0dc5b84,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,accepted,2026-09-01T10:30:00+00:00,2026-09-01T13:30:00+00:00
118,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,5ccdaadc-80b2-50e1-a0c1-bad0246a7cf2,accepted,2026-09-10T10:30:00+00:00,2026-09-10T13:30:00+00:00
119,b55b4f74-ded6-5cf1-aae0-9ad89c03c10c,f1fb49f6-8f16-5086-a3b3-1c5e169f9ad4,accepted,2026-08-05T10:30:00+00:00,2026-08-05T13:30:00+00:00
120,b0ebc690-efe0-594f-bd55-e4d7ec3454bc,e3efd234-c7f9-5957-937f-661b1c3981ef,accepted,2026-07-26T10:30:00+00:00,2026-07-26T13:30:00+00:00
121,b0ebc690-efe0-594f-bd55-e4d7ec3454bc,ac9c9500-b7e4-5bbe-8f4e-a40a6201979a,accepted,2026-07-30T10:30:00+00:00,2026-07-30T13:30:00+00:00
122,b0ebc690-efe0-594f-bd55-e4d7ec3454bc,88a268b0-6bca-5583-b041-ffdbc51be7e6,accepted,2026-08-26T10:30:00+00:00,2026-08-26T13:30:00+00:00
123,9c9c228f-3bd5-5da4-b666-fbfab93b4b7e,44f09dba-7a20-5f46-840b-4670e6c7eb92,accepted,2026-08-11T10:30:00+00:00,2026-08-11T13:30:00+00:00
124,4966bb54-4d4f-5992-8586-1bd44991d17f,baa8ef70-5b01-5a49-84cb-71c353290705,accepted,2026-08-22T10:30:00+00:00,2026-08-22T13:30:00+00:00
125,3a376c3a-3e46-5c8c-815c-232b66ca9bc8,50d6350f-ffd4-59ad-a1ff-65a49a77a913,accepted,2026-08-30T10:30:00+00:00,2026-08-30T13:30:00+00:00
126,3a376c3a-3e46-5c8c-815c-232b66ca9bc8,4966bb54-4d4f-5992-8586-1bd44991d17f,pending,2026-07-23T10:30:00+00:00,2026-07-23T10:30:00+00:00
127,3a376c3a-3e46-5c8c-815c-232b66ca9bc8,64609795-d498-5ea7-ad33-a3bcecf9d962,accepted,2026-07-28T10:30:00+00:00,2026-07-28T13:30:00+00:00
128,3a376c3a-3e46-5c8c-815c-232b66ca9bc8,f4b545d6-b6c0-54b8-847e-101d68428b48,accepted,2026-08-05T10:30:00+00:00,2026-08-05T13:30:00+00:00
129,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,a60d0128-bffa-5d2d-9915-36693e6bc3ba,accepted,2026-08-29T10:30:00+00:00,2026-08-29T13:30:00+00:00
130,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,6b9b6012-cdb4-50eb-8ad0-01c36516df23,accepted,2026-08-04T10:30:00+00:00,2026-08-04T13:30:00+00:00
131,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,7f0221a7-4703-52e7-8b26-fa2cd7303c90,accepted,2026-07-29T10:30:00+00:00,2026-07-29T13:30:00+00:00
132,6b9b6012-cdb4-50eb-8ad0-01c36516df23,10feece1-a2cd-532b-8488-21659a3bee22,accepted,2026-08-15T10:30:00+00:00,2026-08-15T13:30:00+00:00
133,e502b694-466f-5e1f-9293-146b264ae20c,1062abbb-4fcd-51a9-95fc-5474e4af7640,accepted,2026-09-02T10:30:00+00:00,2026-09-02T13:30:00+00:00
134,e502b694-466f-5e1f-9293-146b264ae20c,7bdf8ad6-1318-5f74-9112-e2b655e215a2,pending,2026-07-24T10:30:00+00:00,2026-07-24T10:30:00+00:00
135,84da666c-c47c-572e-b2c9-3b6f35881596,0e49007f-82be-5238-a956-37d8f7b40d4c,accepted,2026-08-14T10:30:00+00:00,2026-08-14T13:30:00+00:00
136,84da666c-c47c-572e-b2c9-3b6f35881596,5c465a9a-bc36-5d7b-b5a2-0f18d9dab68a,accepted,2026-07-26T10:30:00+00:00,2026-07-26T13:30:00+00:00
137,84da666c-c47c-572e-b2c9-3b6f35881596,a2cc3818-be31-5aeb-828c-e23f579431aa,accepted,2026-08-12T10:30:00+00:00,2026-08-12T13:30:00+00:00
138,0e49007f-82be-5238-a956-37d8f7b40d4c,096499d2-73d6-5063-9dd4-a7c1aebac61d,pending,2026-09-10T10:30:00+00:00,2026-09-10T10:30:00+00:00
139,0e49007f-82be-5238-a956-37d8f7b40d4c,1767869f-381f-59b9-acac-01da2d539e40,accepted,2026-09-09T10:30:00+00:00,2026-09-09T13:30:00+00:00
140,0e49007f-82be-5238-a956-37d8f7b40d4c,baa8ef70-5b01-5a49-84cb-71c353290705,accepted,2026-08-07T10:30:00+00:00,2026-08-07T13:30:00+00:00
141,774fd1d7-ca6b-5177-9d91-fc7b24739425,9edec740-5de6-5c27-8233-5cf72946b182,pending,2026-08-12T10:30:00+00:00,2026-08-12T10:30:00+00:00
142,ee289908-380a-5bb3-8fdc-0990b203929b,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,accepted,2026-08-02T10:30:00+00:00,2026-08-02T13:30:00+00:00
143,ee289908-380a-5bb3-8fdc-0990b203929b,a60d0128-bffa-5d2d-9915-36693e6bc3ba,accepted,2026-08-22T10:30:00+00:00,2026-08-22T13:30:00+00:00
144,ee289908-380a-5bb3-8fdc-0990b203929b,7f0221a7-4703-52e7-8b26-fa2cd7303c90,accepted,2026-09-02T10:30:00+00:00,2026-09-02T13:30:00+00:00
145,84047d01-74e6-5a08-a20e-b5c25e3eff3e,e0b64119-ecb0-52a5-852d-39c211ce337a,accepted,2026-08-26T10:30:00+00:00,2026-08-26T13:30:00+00:00
146,84047d01-74e6-5a08-a20e-b5c25e3eff3e,e21dfd78-ea9f-5754-a3b2-3b3b66dd30b5,accepted,2026-08-24T10:30:00+00:00,2026-08-24T13:30:00+00:00
