id,user_id,thread_id,comment_id,value,created_at
113,fd96bbd1-5601-5c99-a1e2-04b09168b35e,114,\N,1,2026-08-03T04:30:00+00:00
114,ef763ec1-f93c-5744-9640-4ca59adf9347,114,\N,1,2026-08-03T04:30:00+00:00
115,daa36188-60fd-56a2-938b-70b1b51084b0,114,\N,1,2026-08-03T04:30:00+00:00
116,3bc3e38a-5ff7-5330-ab2d-8add18e85d57,114,\N,1,2026-08-03T04:30:00+00:00
117,1bf86e3f-0e6e-5241-b319-71005237945f,114,\N,1,2026-08-03T04:30:00+00:00
118,7e6a1243-34f5-52e6-862f-e5f3b2ebe640,114,\N,1,2026-08-03T04:30:00+00:00
119,f4793612-bd5c-52c4-b29e-226fe28a77ca,114,\N,1,2026-08-03T04:30:00+00:00
120,d2a70bca-a25c-522f-9b7e-c967b69503cc,114,\N,1,2026-08-03T04:30:00+00:00
121,554a90ae-c448-548d-a552-cd8f1c340cbd,114,\N,1,2026-08-03T04:30:00+00:00
122,6ac5a7a4-ae0d-5e31-8a7c-d85b63a96c46,114,\N,1,2026-08-03T04:30:00+00:00
123,bdc5faf6-386d-5338-99a0-32d156bcbd68,114,\N,1,2026-08-03T04:30:00+00:00
124,8fa5b823-1a70-59f7-9bb2-b3d5f36dc82b,114,\N,1,2026-08-03T04:30:00+00:00
125,0e49007f-82be-5238-a956-37d8f7b40d4c,\N,209,1,2026-09-12T12:00:00+00:00
126,0947c4b9-50d6-50e2-9043-84a15b80e8c7,\N,209,1,2026-09-12T12:40:00+00:00
127,001e944b-e64e-5742-afb7-5e04327e41ee,\N,209,1,2026-09-12T13:20:00+00:00
128,f0f4eb8c-a1ed-50a1-bc7d-2863700a31a5,\N,209,1,2026-09-12T14:00:00+00:00
129,729fe171-fa0d-547e-b374-39bd19f4c645,\N,209,1,2026-09-12T14:40:00+00:00
130,5532dec3-02ae-5ac3-8b57-2e8214a8598b,\N,209,1,2026-09-12T15:20:00+00:00
131,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,\N,209,1,2026-09-12T16:00:00+00:00
132,484e243b-afd7-5767-bb0f-4262c0334aea,\N,209,1,2026-09-12T16:40:00+00:00
133,3d5b480d-3962-5c76-96ca-5459d65372aa,\N,209,1,2026-09-12T17:20:00+00:00
